Schema,Table
CASMGR,CRS_SPR_STEP_EXECUTION
CASMGR,CRS_SPR_JOB_EXECUTION
CASMGR,CRS_SPR_JOB_INSTANCE
CASMGR,CAS_REPORT_CATEGORY_MT
CASMGR,CAS_REPORT_GROUP_MT
CASMGR,CAS_REPORT_FILTER_MT
CASMGR,CAS_REPORT_PARAMETERS_MT
CASMGR,CAS_REPORT_SUBREPORT_ML
CASMGR,CAS_REPORT_MT
CASMGR,CAS_REPORT_SORT_COLUMN_MT
CASMGR,CAS_REPORT_CLASSIFICATION_MT
CASMGR,CAS_REPORT_HISTORY_MT
CASMGR,ADM_SPR_STEP_EXECUTION
CASMGR,ADM_SPR_JOB_EXECUTION
CASMGR,ADM_SPR_JOB_INSTANCE
CASMGR,AUTH_QRTZ_PAUSED_TRIGGER_GRPS
CASMGR,AUTH_QRTZ_CRON_TRIGGERS
CASMGR,AUTH_QRTZ_SCHEDULER_STATE
CASMGR,AUTH_QRTZ_FIRED_TRIGGERS
CASMGR,AUTH_QRTZ_TRIGGER_LISTENERS
CASMGR,AUTH_QRTZ_LOCKS
CASMGR,AUTH_QRTZ_JOB_LISTENERS
CASMGR,AUTH_QRTZ_SIMPLE_TRIGGERS
CASMGR,QRTZ_CRON_TRIGGERS
CASMGR,QRTZ_TRIGGER_LISTENERS
CASMGR,ADM_QRTZ_FIRED_TRIGGERS
CASMGR,ADM_QRTZ_JOB_LISTENERS
CASMGR,ADM_QRTZ_PAUSED_TRIGGER_GRPS
CASMGR,ADM_QRTZ_SIMPLE_TRIGGERS
CASMGR,ADM_QRTZ_LOCKS
CASMGR,ADM_QRTZ_SCHEDULER_STATE
CASMGR,ADM_QRTZ_TRIGGER_LISTENERS
CASMGR,ADM_QRTZ_CRON_TRIGGERS
CASMGR,QRTZ_SIMPLE_TRIGGERS
CASMGR,ERD_SPR_STEP_EXECUTION
CASMGR,ERD_SPR_JOB_EXECUTION
CASMGR,ERD_SPR_JOB_INSTANCE
CASMGR,QRTZ_PAUSED_TRIGGER_GRPS
CASMGR,CAS_UN_SUBDIV_MZ
CASMGR,CAS_UN_LOCODE_MZ
CASMGR,CAS_UN_COUNTRY_MZ
CASMGR,CAS_SEARCH_MZ
CASMGR,CAS_SEARCH_SAVED_QUERY_MT
CASMGR,CAS_SEARCH_VIEW_MZ
CASMGR,CAS_VALIDATOR_MZ
CASMGR,CAS_VALIDATOR_ACCESS_MT
CASMGR,QRTZ_SCHEDULER_STATE
CASMGR,CAS_QUARTZ_PROPERTY_MT
CASMGR,CAS_QUARTZ_USER_GROUP_JOB_ML
CASMGR,CAS_QUARTZ_SCHEDULE_TYPE_MZ
CASMGR,CAS_QUARTZ_JOB_MT
CASMGR,CAS_QUARTZ_TRIGGER_TYPE_MZ
CASMGR,CAS_QUARTZ_USER_GROUP_MT
CASMGR,CAS_QUARTZ_CSTM_SERVER_MZ
CASMGR,CAS_QUARTZ_ACCESS_LEVEL_MZ
CASMGR,CAS_QUARTZ_CSTM_ENVIRONMENT_MZ
CASMGR,CAS_QUARTZ_TRIGGER_HISTORY_MT
CASMGR,CAS_QUARTZ_FISCAL_CALENDER_MT
CASMGR,CAS_QUARTZ_CSTM_APPLICATION_MZ
CASMGR,CAS_QUARTZ_LISTENER_MT
CASMGR,ERD_QRTZ_FIRED_TRIGGERS
CASMGR,ERD_QRTZ_JOB_LISTENERS
CASMGR,ERD_QRTZ_PAUSED_TRIGGER_GRPS
CASMGR,ERD_QRTZ_SIMPLE_TRIGGERS
CASMGR,ERD_QRTZ_LOCKS
CASMGR,ERD_QRTZ_SCHEDULER_STATE
CASMGR,ERD_QRTZ_TRIGGER_LISTENERS
CASMGR,ERD_QRTZ_CRON_TRIGGERS
CASMGR,QRTZ_LOCKS
CASMGR,QRTZ_GEMS_FIRED_TRIGGERS
CASMGR,QRTZ_GEMS_SIMPLE_TRIGGERS
CASMGR,QRTZ_GEMS_CRON_TRIGGERS
CASMGR,QRTZ_GEMS_SCHEDULER_STATE
CASMGR,QRTZ_GEMS_LOCKS
CASMGR,QRTZ_GEMS_JOB_LISTENERS
