Schema,Table
CNSMGR,CNS_LOCATION_MZ
CNSMGR,CAS_QRTZ_FIRED_TRIGGERS
CNSMGR,CAS_QRTZ_JOB_LISTENERS
CNSMGR,CAS_QRTZ_PAUSED_TRIGGER_GRPS
CNSMGR,CAS_QRTZ_SIMPLE_TRIGGERS
CNSMGR,CAS_QRTZ_LOCKS
CNSMGR,CAS_QRTZ_SCHEDULER_STATE
CNSMGR,CAS_QRTZ_TRIGGER_LISTENERS
CNSMGR,CAS_QRTZ_CRON_TRIGGERS
CNSMGR,CNS_SUBSCRIBER_MT
CNSMGR,CNS_EVENT_MZ
CNSMGR,CNS_EVENT_SUBSCRIPTION_MT
CNSMGR,CNS_BATCH_MT
CNSMGR,CNS_NOTIFICATION_HEADER_MT
CNSMGR,CNS_NOTIFICATION_MZ
CNSMGR,CNS_NOTIFICATION_DEST_MT
CNSMGR,CNS_NOTIFICATION_DETAIL_MT
CNSMGR,CNS_APPLICATION_PARAMETER_MZ
