Schema,Table
DWMGR,DCM_HEADER
DWMGR,MT_UNIT_ATTRIBUTES_MMV
DWMGR,MT_UNIT_MMV
DWMGR,DM_CARRIER
DWMGR,DM_CONTAINER_TYPE
DWMGR,DM_COMMODITY
DWMGR,DCM_DETAIL
DWMGR,DW_LOAD_CONTROL
DWMGR,DW_LOAD_CONTROL_MT
DWMGR,DW_LOAD_ERROR_MT
DWMGR,DW_LOAD_HISTORY_MT
DWMGR,AMIS_VEHICLE
DWMGR,MT_TERMINAL_INVENTORY_MMV
DWMGR,MIL_ACCT_REV_EXP_MT_OLD
DWMGR,DM_CONSIGNEE
DWMGR,MT_BOOKING_INFO_MMV
DWMGR,DM_USA_DESTINATION
DWMGR,DM_COUNTRY
DWMGR,DM_SHIPPER
DWMGR,VINS_INLAND_INVENTORY_MT_ARCH
DWMGR,MT_EVENT_LOG_MMV
DWMGR,MZ_VESSEL_VOYAGE_ITINERARY_MMV
DWMGR,MZ_VESSEL_MMV
DWMGR,VINS_SCN_LOCATION_MMV
DWMGR,MZ_EMAIL_PARAMS
DWMGR,VEHICLE_VESSEL_EVENT_MT
DWMGR,DWM_JOC
DWMGR,MT_VEHICLE_INFO_MMV
DWMGR,DM_PERIOD
DWMGR,VINS_SHIPMENT_DETAIL_MT_ARCH
DWMGR,MT_VESSEL_INVENTORY_MMV
DWMGR,MZ_TERMINAL_MMV
DWMGR,DM_CARGO_ORIGIN
DWMGR,NEQ_CITY_MMV
DWMGR,MT_PORT_INVENTORY_MMV
DWMGR,MT_PORT_INVENTORY_ARCH
DWMGR,JOC_COMM_CODE
