Schema,Table
EIRMGR,EIR_USER_PORT_ML
EIRMGR,EIR_USER_MT
EIRMGR,EIR_PORT_MZ
EIRMGR,EIR_BOOKING_MT
EIRMGR,EIR_VESSEL_MZ
EIRMGR,EIR_EQUIPMENT_REQUEST_MT
EIRMGR,EIR_EQUIPMENT_ISSUED_MT
EIRMGR,EIR_EQUIPMENT_PURPOSE_MZ
EIRMGR,EIR_EQUIPMENT_OWNER_MZ
EIRMGR,EIR_EQUIP_ISSUED_CONDITION_MT
EIRMGR,EIR_EQUIP_ISSUED_TO_COMPANY_MZ
EIRMGR,EIR_EQUIPMENT_CONDITION_MZ
EIRMGR,EIR_EQUIPMENT_POSITION_MZ
EIRMGR,EIR_EQUIPMENT_FACILITY_MZ
EIRMGR,EIR_EQUIP_RESPONSIBLE_PARTY_MZ
EIRMGR,EIR_EQUIPMENT_ISO_MZ
EIRMGR,EIR_SUBSTITUTION_REASON_MZ
EIRMGR,EIR_APPLICATION_PARAMETER_MZ
