Schema,Table
MNSMGR,CAS_SPR_STEP_EXECUTION
MNSMGR,CAS_SPR_JOB_EXECUTION
MNSMGR,CAS_SPR_JOB_INSTANCE
MNSMGR,MNS_EVENT_REF_DATA_MZ
MNSMGR,MNS_EVENT_MZ
MNSMGR,MNS_EVENT_TIME_DIFF_MT
MNSMGR,MNS_EQPT_EMPTY_FULL_TYPE_MZ
MNSMGR,MNS_EQPT_SERVICE_MZ
MNSMGR,MNS_EQPT_SP_SERVICE_MZ
MNSMGR,MNS_EQPT_SIZE_MZ
MNSMGR,MNS_EQPT_HEIGHT_MZ
MNSMGR,MNS_EQPT_OWNER_MZ
MNSMGR,MNS_EQPT_TYPE_MZ
MNSMGR,MNS_EQPT_HOLD_MZ
MNSMGR,MNS_STOW_EVENT_MT
MNSMGR,MNS_OCEAN_EVT_PUBLISH_EVT_ML
MNSMGR,MNS_OCEAN_EVENT_MT
MNSMGR,MNS_OCEAN_LAST_EVENT_MT
MNSMGR,MNS_OCEAN_SUBSCRIPT_PGYBK_MT
MNSMGR,MNS_OCEAN_EVENT_BOL_MT
MNSMGR,MNS_OCEAN_SVC_REF_DATA_MZ
MNSMGR,MNS_OCEAN_EVENT_PARTY_MT
MNSMGR,MNS_OCEAN_COMMODITY_MT
MNSMGR,MNS_OCEAN_SUBSCRIPT_CONFIG_MT
MNSMGR,MNS_COLUMN_DEFINITION_MZ
MNSMGR,MNS_PLANNED_DISPOSITION_TYP_MZ
MNSMGR,MNS_FILTER_OPERATOR_MZ
MNSMGR,MNS_TRADE_PORT_MZ
MNSMGR,MNS_CUSTOMER_GROUP_REF_DATA_MZ
MNSMGR,ML_SUBSCRIBER_CP_CUSTOMER
MNSMGR,CAS_QRTZ_FIRED_TRIGGERS
MNSMGR,CAS_QRTZ_JOB_LISTENERS
MNSMGR,CAS_QRTZ_PAUSED_TRIGGER_GRPS
MNSMGR,CAS_QRTZ_SIMPLE_TRIGGERS
MNSMGR,CAS_QRTZ_LOCKS
MNSMGR,CAS_QRTZ_SCHEDULER_STATE
MNSMGR,CAS_QRTZ_TRIGGER_LISTENERS
MNSMGR,CAS_QRTZ_CRON_TRIGGERS
MNSMGR,MNS_NOTIF_LABEL_CONFIG_MT
MNSMGR,MNS_TOS_EVENT_MT
MNSMGR,MNS_SUBSCRIPT_SCHEDULE_MT
MNSMGR,MNS_SUBSCRIPT_FILTER_MT
MNSMGR,MNS_SUB_SCHED_DEPENDENT_MT
MNSMGR,MNS_SUBSCRIPT_PROPERTY_MT
MNSMGR,MT_OCEAN_NOTIFICATION
MNSMGR,MT_OCEAN_SUBSCRIPTION_CONFIG
MNSMGR,MT_OCEAN_EXCP_NOTIFICATION
MNSMGR,MNS_SAILING_PUBLISH_EVENT_MT
MNSMGR,MNS_NEW_VESS_PUBLISH_EVENT_MT
MNSMGR,MT_SUBSCRIPTION
MNSMGR,MT_SUBSCRIBER
MNSMGR,MT_NOTIFICATION
MNSMGR,MT_NOTIFICATION_EXECUTION
MNSMGR,MT_NOTIFICATION_COMMENT
MNSMGR,MT_NOTIFICATION_COMMENT_DETAIL
MNSMGR,MT_NOTIFICATION_HEADER
MNSMGR,ML_NOTIFICATION_DEPENDENT
MNSMGR,MNS_MINOR_EVENT_MZ
MNSMGR,MNS_GATE_HOURS_MZ
MNSMGR,MNS_PORT_REF_DATA_MZ
MNSMGR,ML_OCEAN_NOTIF_ORIG_PORTS
MNSMGR,ML_OCEAN_NOTIF_DEST_PORTS
MNSMGR,ML_OCEAN_NOTIF_SERVICES
