Schema,Table
MT_OWNER,MZ_HOLD
MT_OWNER,MZ_PROBLEM_CAUSE_TYPE
MT_OWNER,MZ_PROBLEM_STATUS
MT_OWNER,MZ_PROBLEM_TYPE
MT_OWNER,MZ_PROBLEM_SOURCE_TYPE
MT_OWNER,MZ_UNIT_STATUS
MT_OWNER,MT_MONITOR_COLUMN
MT_OWNER,MT_MONITOR
MT_OWNER,MT_MONITOR_FILTER
MT_OWNER,MT_VESSEL_INVENTORY
MT_OWNER,MT_VESSEL_INVENTORY_ARCHIVE
MT_OWNER,MT_VESSEL_INTERFACE
MT_OWNER,MT_PLAN_IN
MT_OWNER,MT_PLAN_OUT
MT_OWNER,MZ_DIRECTION
MT_OWNER,MT_MESSAGE_ARCHIVE
MT_OWNER,ML_TERMINAL_TERMINAL_FLAG
MT_OWNER,ML_UNIT_HOLD
MT_OWNER,MZ_BERTH
MT_OWNER,ML_ROLE_PERMISSION
MT_OWNER,MT_USER_MONITOR
MT_OWNER,MZ_ERROR
MT_OWNER,MZ_SEARCH_CRITERIA
MT_OWNER,MZ_SEVERITY_LEVEL
MT_OWNER,MZ_EVENT
MT_OWNER,MZ_PERMISSION_RIGHT
MT_OWNER,MZ_PERMISSION
MT_OWNER,MZ_PERMISSION_TYPE
MT_OWNER,MZ_TERMINAL
MT_OWNER,MZ_TERMINAL_LAYOUT
MT_OWNER,MZ_TERMINAL_PRINTER
MT_OWNER,MZ_TERMINAL_AREA
MT_OWNER,MZ_TERMINAL_FLAG
MT_OWNER,MZ_TERMINAL_LINE
MT_OWNER,MZ_UOM
MT_OWNER,MT_TERMINAL_INVENTORY
MT_OWNER,MT_TERMINAL_INVENTORY_ARCHIVE
MT_OWNER,MZ_VESSEL_PROFILE
MT_OWNER,MZ_VESSEL_VOYAGE
MT_OWNER,MZ_VESSEL_VOYAGE_STATUS
MT_OWNER,MZ_VESSEL_VOYAGE_ITINERARY
MT_OWNER,MZ_VEHICLE_TYPE
MT_OWNER,MZ_VESSEL_TYPE
MT_OWNER,MZ_VESSEL
MT_OWNER,MZ_VIN_DAYS
MT_OWNER,MZ_SURVEY_AREA_DAMAGE_LOCATION
MT_OWNER,MZ_SURVEY_DAMAGE_AREA
MT_OWNER,MZ_SURVEY_DAMAGE_TYPE
MT_OWNER,MZ_SURVEY_TYPE
MT_OWNER,MZ_TIMEZONE
MT_OWNER,MZ_USER
MT_OWNER,MT_PROBLEM_EVENT_LOG
MT_OWNER,MZ_SHIPPER_CLASS
MT_OWNER,MZ_SHIPPER_CLASS_ATTR
MT_OWNER,MZ_PORT
MT_OWNER,ML_HOLD_EVENT
MT_OWNER,MT_ERROR_COLLECTION
MT_OWNER,MT_ERROR_COLLECTION_DETAIL
MT_OWNER,MZ_LOCATION_TYPE
MT_OWNER,MZ_LINE_TYPE
MT_OWNER,MZ_EQUIPMENT_TYPE
MT_OWNER,MT_DROPOFF_EVENT
MT_OWNER,ML_USER_ROLE
MT_OWNER,ML_USER_PERMISSION
MT_OWNER,MT_ASN
MT_OWNER,MT_BOOKING_INFO
MT_OWNER,MT_AUTO_STATUS_FEED
MT_OWNER,MT_EQUIPMENT
MT_OWNER,MZ_MONITOR_DISPLAY
MT_OWNER,MZ_MONITOR_TYPE
MT_OWNER,MZ_MONITOR_VIEW
MT_OWNER,MZ_MONITOR_VIEW_COLUMN_TYPE
MT_OWNER,MZ_MONITOR_VIEW_COLUMN
MT_OWNER,MT_NOTIFICATION
MT_OWNER,MZ_INVENTORY_TYPE
MT_OWNER,MZ_INTERFACE_CODE_VALUE_MT
MT_OWNER,MZ_RAC_SURVEY
MT_OWNER,MT_SYSTEM_LOG_MSG
MT_OWNER,MZ_3RD_PARTY_VSL
MT_OWNER,MT_GATE_INVENTORY
MT_OWNER,MT_GATE_INVENTORY_ARCHIVE
MT_OWNER,MT_STUFF_DETAIL
MT_OWNER,MT_STUFF
MT_OWNER,CAS_SPR_JOB_INSTANCE
MT_OWNER,CAS_SPR_STEP_EXECUTION
MT_OWNER,CAS_SPR_JOB_EXECUTION
MT_OWNER,MT_INTERFACE
MT_OWNER,MZ_LAND_MASS
MT_OWNER,MT_GED_EDI_EVENTS
MT_OWNER,MT_EVENT_LOG_ARCHIVE
MT_OWNER,MT_EVENT_LOG
MT_OWNER,CAS_QRTZ_FIRED_TRIGGERS
MT_OWNER,CAS_QRTZ_JOB_LISTENERS
MT_OWNER,CAS_QRTZ_TRIGGER_LISTENERS
MT_OWNER,CAS_QRTZ_CRON_TRIGGERS
MT_OWNER,CAS_QUARTZ_PROPERTY_MT
MT_OWNER,CAS_QRTZ_LOCKS
MT_OWNER,CAS_QRTZ_PAUSED_TRIGGER_GRPS
MT_OWNER,CAS_QRTZ_SIMPLE_TRIGGERS
MT_OWNER,CAS_QRTZ_SCHEDULER_STATE
MT_OWNER,MZ_ROLE
MT_OWNER,MT_PORT_ROUTING_AUDIT
MT_OWNER,MT_PORT_INVENTORY
MT_OWNER,MT_UNIT_SURVEY
MT_OWNER,MT_UNIT_ARCHIVE
MT_OWNER,MT_UNIT_ATTRIBUTES
