Schema,Table
VCSCMGR,ITGBL_LOCATION_MZ
VCSCMGR,ITGBL_LINE_HAUL_RATE_MZ
VCSCMGR,CHAS_CHASSIS_MT
VCSCMGR,CHAS_CHASSIS_STATUS_MZ
VCSCMGR,ML_WEB_BOOKING
VCSCMGR,ML_WEB_FREIGHT_BILL
VCSCMGR,ML_WEB_RECEIVE_FREIGHT
VCSCMGR,CAS_VESSEL_ROUTE_MZ
VCSCMGR,CAS_VESSEL_ROUTE_CONDITION_MZ
VCSCMGR,CAS_VESSEL_HOLIDAY_MZ
VCSCMGR,CAS_VESSEL_OTR_MZ
VCSCMGR,CUST_INFO_2
VCSCMGR,CUST_INFO_1
VCSCMGR,MZ_HHG_CALC_LOCATION
VCSCMGR,MZ_HHGP_CALC_LOCATION
VCSCMGR,MZ_HHGP_CALC_CONTAINER_TYPE
VCSCMGR,MZ_HHG_CALC_CONTAINER_TYPE
VCSCMGR,MT_ADDRESS_ROLE
VCSCMGR,VCSC_PREFERENCE_TYPE_MZ
VCSCMGR,VCSC_PORT_SCHEDULE
VCSCMGR,VCSC_PORT_SCHEDULE_CUTOFF
VCSCMGR,VCSC_POV_OVERSIZE_RULES_MT
VCSCMGR,VCSC_PORT_TIMEZONE_MZ
VCSCMGR,MZ_WEB_EVENT
VCSCMGR,VCSC_LOCATION_AUTHORIZATION_MT
VCSCMGR,MT_EQUIPMENT_LOG
VCSCMGR,MT_EQUIPMENT_REQUIREMENT
VCSCMGR,MT_HHG_CALC_RULE
VCSCMGR,MT_HHGP_CALC_RULE
VCSCMGR,CAS_QRTZ_LOCKS
VCSCMGR,CAS_QRTZ_JOB_LISTENERS
VCSCMGR,CAS_QRTZ_SIMPLE_TRIGGERS
VCSCMGR,CAS_QRTZ_SCHEDULER_STATE
VCSCMGR,CAS_QRTZ_FIRED_TRIGGERS
VCSCMGR,CAS_QRTZ_TRIGGER_LISTENERS
VCSCMGR,CAS_QRTZ_PAUSED_TRIGGER_GRPS
VCSCMGR,CAS_QRTZ_CRON_TRIGGERS
VCSCMGR,NOA_INBOUND_LOCATION_MZ
VCSCMGR,SALES_TERRITORY_1
VCSCMGR,SALES_REGION_2
VCSCMGR,SALES_TERRITORY_2
VCSCMGR,SALES_REGION_1
VCSCMGR,MZ_ORGANIZATION
VCSCMGR,MZ_ORGANIZATION_VFRI
VCSCMGR,ML_HHG_GBL_REF
VCSCMGR,UNBILLED_CARGO
VCSCMGR,APPLICATION_PARAMETERS
VCSCMGR,CONTAINER_TRACK_USER_ACCESS
VCSCMGR,VCSC_TEMPLATE_WEIGHT_MT
VCSCMGR,VCSC_TC_DOC_INDEX_MT
VCSCMGR,VCSC_TC_AGREEMENT_MT
VCSCMGR,NEQ_CITY_1
VCSCMGR,NEQ_CITY_2
VCSCMGR,MZ_VESSEL_ARRIVAL_HIST
VCSCMGR,MZ_ITINERARY_VESSEL
VCSCMGR,MT_FREIGHT_BILL_REFERENCE
VCSCMGR,MT_FREIGHT_BILL_PARTY
VCSCMGR,MT_FREIGHT_BILL
VCSCMGR,WEB_BOOKING_TEMPLATE_2
VCSCMGR,WEB_BOOKING_TEMPLATE_1
VCSCMGR,VCSC_EXTERNAL_MESSAGE
VCSCMGR,VCSC_EXCLUSIVE_ATTRIBUTE
VCSCMGR,VCSC_MILITARY_STOP_MT
VCSCMGR,VCSC_MILITARY_RESERVATION_MT
VCSCMGR,VCSC_MESSAGE_LOG
VCSCMGR,LDP_RULE
VCSCMGR,MT_PROCESS_LOG
VCSCMGR,MT_PROCESS_LOG_DETAIL
VCSCMGR,CP_TYPE_TRANSLATE_2
VCSCMGR,CP_TYPE_TRANSLATE_1
VCSCMGR,MZ_NOA_DESTINATION
VCSCMGR,STATE_CODE_1
VCSCMGR,STATE_CODE_2
VCSCMGR,ZIP_CODE_2
VCSCMGR,ZIP_CODE_1
VCSCMGR,ICUS_ORGANIZATION_2
VCSCMGR,ICUS_ORGANIZATION_1
VCSCMGR,VCSC_USER_ROLE
VCSCMGR,MZ_TRADE
VCSCMGR,POV_PORT_RULES_ML
VCSCMGR,BL_INDEX_STATUS
VCSCMGR,BL_INDEX
VCSCMGR,VCSC_CUSTOMER_PREFERENCE_MT
VCSCMGR,VCSC_CSR_HOLIDAY_NOTIFY_MT
VCSCMGR,VCSC_CUSTOMER_ADDRESS_MT
VCSCMGR,VCSC_CUSTOMER_PROFILE_FEED_MT
VCSCMGR,RAIL_RAMP_SCHEDULE_CUTOFF
VCSCMGR,POV_CUTOFF_RULES_ML
VCSCMGR,POV_CUSTOMER_MT
VCSCMGR,WEBID_AUTHORIZATION
VCSCMGR,VISTA_2
VCSCMGR,VISTA_1
VCSCMGR,MT_LOAD_ERROR
VCSCMGR,MT_LOAD_ERROR_KEY
VCSCMGR,MT_LOAD_STATISTICS
VCSCMGR,MTRACK_CONFIG_MT
VCSCMGR,POV_RATE_MZ
VCSCMGR,WEB_SHIPMENT_INFO_1
VCSCMGR,WEB_SHIPMENT_INFO_2
VCSCMGR,USER_PROFILE
VCSCMGR,VCSC_SPOT_REQUIREMENT_MT
VCSCMGR,MZ_EVENT
VCSCMGR,VCSC_BOOKING_REQUEST_MT
VCSCMGR,VCSC_BILLED_CONTAINER_MT
VCSCMGR,MT_DOWN_SCHEDULE
VCSCMGR,LOAD_DISC_SVC_PAIR_2
VCSCMGR,LOAD_DISC_SVC_PAIR_1
VCSCMGR,LOAD_DSCH_SVC_TYPE_2
VCSCMGR,LOAD_DSCH_SVC_TYPE_1
VCSCMGR,MZ_CONTAINER_TRACK_HIST
VCSCMGR,MZ_CONTAINER
VCSCMGR,POV_REF_DATA_ML
VCSCMGR,ML_MULTI_TRADE
VCSCMGR,MZ_ETA_ROUTING
VCSCMGR,MZ_ETA_ROUTING_HIST
VCSCMGR,MZ_ETA_ROUTING_EVENT
VCSCMGR,VCSC_ORIGINAL_BOL_HISTORY_MT
VCSCMGR,VCSC_ORGANIZATION_FEED_MT
VCSCMGR,MT_CUSTOMER
