Schema,Table
VSSMGR,MT_VOYAGE_ARCHIVE
VSSMGR,MT_VOYAGE
VSSMGR,MZ_STANDARD_NOTE
VSSMGR,IVS_AVAILABILITY_MZ
VSSMGR,MT_PORT_EVENT
VSSMGR,MT_PORT_EVENT_ARCHIVE
VSSMGR,MT_VESSEL_SCHEDULE_RULE
VSSMGR,MT_VESSEL_PROPERTY
VSSMGR,MZ_BERTH
VSSMGR,VSS_VESSEL_ROUTE_MZ
VSSMGR,VSS_VESSEL_ROUTE_CONDITION_MZ
VSSMGR,VSS_VESSEL_OTR_MZ
VSSMGR,VSS_VESSEL_ITIN_MT
VSSMGR,VSS_VIRTUAL_PORT_RULE_MZ
VSSMGR,VSS_AUTO_VESSEL_UPDATE_MT
VSSMGR,MZ_NOTE_TYPE
VSSMGR,MT_REPORT_PROPERTY
VSSMGR,VSS_INTERNAL_REPORT_MZ
VSSMGR,VSS_SCHEDULE_TEMPLATE_DATA_MT
VSSMGR,VSS_SCHEDULE_TEMPLATE_MZ
VSSMGR,MT_DAILY_NOTE
VSSMGR,IVS_LOCATION_TYPE_MZ
VSSMGR,IVS_LOCATION_MZ
VSSMGR,CAS_QRTZ_CRON_TRIGGERS
VSSMGR,CAS_QRTZ_PAUSED_TRIGGER_GRPS
VSSMGR,CAS_QRTZ_SIMPLE_TRIGGERS
VSSMGR,CAS_QRTZ_LOCKS
VSSMGR,CAS_QRTZ_SCHEDULER_STATE
VSSMGR,CAS_QRTZ_TRIGGER_LISTENERS
VSSMGR,CAS_QRTZ_FIRED_TRIGGERS
VSSMGR,CAS_QRTZ_JOB_LISTENERS
VSSMGR,MZ_VESSEL
VSSMGR,MZ_VESSEL_TYPE
VSSMGR,MZ_VESSEL_PORT_PROPERTY
VSSMGR,VSS_AGENT_VESSEL_ASSIGN_MT
VSSMGR,MZ_EVENT_TYPE
VSSMGR,ML_VESSEL_NOTE
VSSMGR,MZ_PORT
VSSMGR,MZ_PORT_PROPERTY
VSSMGR,MZ_PORT_EVENT_STATUS
VSSMGR,MT_SAVED_SCHEDULE_TRAN
VSSMGR,MT_SAVED_SCHEDULE
VSSMGR,MT_SAVED_SCHEDULE_DATA
VSSMGR,MZ_TRADE_ROUTE
VSSMGR,IVS_VVD_CUTOFF_MZ
VSSMGR,IVS_ORIG_DEST_MAP_ML
VSSMGR,VGM_CUTOFF_MZ
VSSMGR,MZ_TERMINAL
VSSMGR,MT_USER_PREFS
VSSMGR,ACOE_DRAFT
VSSMGR,MZ_VVD_PDF_FORMAT
VSSMGR,IVS_CUTOFF_MZ
